ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1
,variation,200019956-Unidad,GORRO DESECHABLE AZUL KENNEDY 12 UDS - Unidad,1,,visible,,,,,,,1,6,,,,,,,,,,,500.00,,,,,,,200019956,,,,,,1,Presentacion,Unidad,,
,variable,41215,CLOXIDIN 500 MG X 30 CAPSULAS ,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,41215-Caja,CLOXIDIN 500 MG X 30 CAPSULAS  - Caja,1,,visible,,,,,,,1,3,,,,,,,,,,,29900.00,,,,,,,41215,,,,,,1,Presentacion,Caja,,
,variation,41215-Blister,CLOXIDIN 500 MG X 30 CAPSULAS  - Blister,1,,visible,,,,,,,1,1,,,,,,,,,,,10000.00,,,,,,,41215,,,,,,1,Presentacion,Blister,,
,simple,100018400,MIELTERTOS PASTILLAS MASTICABLES,1,,visible,,,,,,,1,1,,,,,,,,,,,17900.00,,,,,,,,,,,,,,,,,
,variable,100011580,ENTEROGERMINA 5 ML 10 AMPOLLAS BEBIBLES,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100011580-Caja,ENTEROGERMINA 5 ML 10 AMPOLLAS BEBIBLES - Caja,1,,visible,,,,,,,1,10,,,,,,,,,,,55000.00,,,,,,,100011580,,,,,,1,Presentacion,Caja,,
,variation,100011580-Unidad,ENTEROGERMINA 5 ML 10 AMPOLLAS BEBIBLES - Unidad,1,,visible,,,,,,,1,6,,,,,,,,,,,5500.00,,,,,,,100011580,,,,,,1,Presentacion,Unidad,,
,simple,G100011580,ENTEROGERMINA 5 ML 10 AMPOLLAS BEBIBLES,1,,visible,,,,,,,1,10,,,,,,,,,,,5500.00,,,,,,,,,,,,,,,,,
,simple,200033453,CHA.HEAD-SHOU.2 1 12 SBS,1,,visible,,,,,,,1,7,,,,,,,,,,,600.00,,,,,,,,,,,,,,,,,
,simple,100025058,BUCOSEPTOL-N FRUTOS ROJOS 60 TBS,1,,visible,,,,,,,1,3,,,,,,,,,,,1400.00,,,,,,,,,,,,,,,,,
,simple,100025673,NOXPIRIN SINUS 12 TBS ,1,,visible,,,,,,,1,1,,,,,,,,,,,9900.00,,,,,,,,,,,,,,,,,
,simple,100026160,AZITROMICINA 500MG X 3 CAP,1,,visible,,,,,,,1,7,,,,,,,,,,,12000.00,,,,,,,,,,,,,,,,,
,simple,100019142,TABCIN NOCHE LIQUID GEL 12 CAPSULAS,1,,visible,,,,,,,1,4,,,,,,,,,,,2400.00,,,,,,,,,,,,,,,,,
,simple,100025202,LEGRIP NOCHE  500 MG X 24 SBS ICOM,1,,visible,,,,,,,1,17,,,,,,,,,,,1900.00,,,,,,,,,,,,,,,,,
,variable,100001921,DOLEX PEDIATRICO 100 TABLETAS MASTICABLE,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100001921-Blister,DOLEX PEDIATRICO 100 TABLETAS MASTICABLE - Blister,1,,visible,,,,,,,1,9,,,,,,,,,,,6500.00,,,,,,,100001921,,,,,,1,Presentacion,Blister,,
,variation,100001921-Unidad,DOLEX PEDIATRICO 100 TABLETAS MASTICABLE - Unidad,1,,visible,,,,,,,1,5,,,,,,,,,,,600.00,,,,,,,100001921,,,,,,1,Presentacion,Unidad,,
,simple,100003942,NAPROXENO 250 MG 10 TABLETAS AG,1,,visible,,,,,,,1,12,,,,,,,,,,,3900.00,,,,,,,,,,,,,,,,,
,simple,200034173,MICROPORE C.PIEL FAST CARE 1X5 3UDS ICOM,1,,visible,,,,,,,1,2,,,,,,,,,,,14700.00,,,,,,,,,,,,,,,,,
,variable,200030661,ALGODON MOTOSITOS 25 GR ,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,200030661-Caja,ALGODON MOTOSITOS 25 GR  - Caja,1,,visible,,,,,,,1,3,,,,,,,,,,,8400.00,,,,,,,200030661,,,,,,1,Presentacion,Caja,,
,variation,200030661-Unidad,ALGODON MOTOSITOS 25 GR  - Unidad,1,,visible,,,,,,,1,6,,,,,,,,,,,1500.00,,,,,,,200030661,,,,,,1,Presentacion,Unidad,,
,variable,200002035,BICARBONATO DE SODA 25SBS 20 GR PROMEGAN,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,200002035-Caja,BICARBONATO DE SODA 25SBS 20 GR PROMEGAN - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,9900.00,,,,,,,200002035,,,,,,1,Presentacion,Caja,,
,variation,200002035-Unidad,BICARBONATO DE SODA 25SBS 20 GR PROMEGAN - Unidad,1,,visible,,,,,,,1,6,,,,,,,,,,,600.00,,,,,,,200002035,,,,,,1,Presentacion,Unidad,,
,simple,7707019328660,ASMIKET 1 MG X 30 TAB,1,,visible,,,,,,,1,2,,,,,,,,,,,9900.00,,,,,,,,,,,,,,,,,
,simple,100002556,MELOXICAM 7.5 MG 10 TABLETAS LS,1,,visible,,,,,,,1,1,,,,,,,,,,,6900.00,,,,,,,,,,,,,,,,,
,simple,100009760,NOFERTYL AMPOLLA 1 ML C/JERINGA,1,,visible,,,,,,,1,23,,,,,,,,,,,16900.00,,,,,,,,,,,,,,,,,
,simple,C100009760,NOFERTYL AMPOLLA 1 ML C/JERINGA,1,,visible,,,,,,,1,3,,,,,,,,,,,11800.00,,,,,,,,,,,,,,,,,
,simple,G100009760,NOFERTYL AMPOLLA 1 ML C/JERINGA,1,,visible,,,,,,,1,15,,,,,,,,,,,10900.00,,,,,,,,,,,,,,,,,
,simple,7703153024796,VITAMINA E 400 U.I X 100 TB PC,1,,visible,,,,,,,1,3,,,,,,,,,,,4000.00,,,,,,,,,,,,,,,,,
,simple,200030504,CEP.COLGATE PREMIER CLEAN MEDIO,1,,visible,,,,,,,1,54,,,,,,,,,,,2800.00,,,,,,,,,,,,,,,,,
,simple,6910021007206,CEP.COLGATE PREMIER CLEAN MEDIO,1,,visible,,,,,,,1,2,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,
,simple,100025059,BUCOSEPTOL-N MIEL LIMON 60 TBS,1,,visible,,,,,,,1,3,,,,,,,,,,,4900.00,,,,,,,,,,,,,,,,,
,simple,200004432,ALUMBRE BARRA APROQUIM,1,,visible,,,,,,,1,13,,,,,,,,,,,900.00,,,,,,,,,,,,,,,,,
,simple,4891228530136,MAQ. SCHICK QUATRO 4  X 10 UNID ,1,,visible,,,,,,,1,7,,,,,,,,,,,3900.00,,,,,,,,,,,,,,,,,
,simple,200023848,BLOQ.SUNDOWN SPF 60 DISPLAY 12 UDS,1,,visible,,,,,,,1,10,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,
,simple,G200023848,BLOQ.SUNDOWN SPF 60 DISPLAY 12 UDS,1,,visible,,,,,,,1,3,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,
,variable,7707019351507,ZIFLUVIS 200 MG X 30 SBS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707019351507-Caja,ZIFLUVIS 200 MG X 30 SBS - Caja,1,,visible,,,,,,,1,4,,,,,,,,,,,35900.00,,,,,,,7707019351507,,,,,,1,Presentacion,Caja,,
,variation,7707019351507-Unidad,ZIFLUVIS 200 MG X 30 SBS - Unidad,1,,visible,,,,,,,1,1,,,,,,,,,,,1500.00,,,,,,,7707019351507,,,,,,1,Presentacion,Unidad,,
,simple,100020370,ALAZETA MULTIVITAMINICO 30 SOFTG ICOM,1,,visible,,,,,,,1,5,,,,,,,,,,,25000.00,,,,,,,,,,,,,,,,,
,variable,100001428,DIPIRONA 500 MG 50 TABLETAS EC,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100001428-Caja,DIPIRONA 500 MG 50 TABLETAS EC - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,16900.00,,,,,,,100001428,,,,,,1,Presentacion,Caja,,
,variation,100001428-Blister,DIPIRONA 500 MG 50 TABLETAS EC - Blister,1,,visible,,,,,,,1,2,,,,,,,,,,,3900.00,,,,,,,100001428,,,,,,1,Presentacion,Blister,,
,variation,100001428-Unidad,DIPIRONA 500 MG 50 TABLETAS EC - Unidad,1,,visible,,,,,,,1,20,,,,,,,,,,,1000.00,,,,,,,100001428,,,,,,1,Presentacion,Unidad,,
,variable,7702184010457,DIPIRONA 500 MG 50 TABLETAS EC,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7702184010457-Blister,DIPIRONA 500 MG 50 TABLETAS EC - Blister,1,,visible,,,,,,,1,8,,,,,,,,,,,4500.00,,,,,,,7702184010457,,,,,,1,Presentacion,Blister,,
,variation,7702184010457-Unidad,DIPIRONA 500 MG 50 TABLETAS EC - Unidad,1,,visible,,,,,,,1,10,,,,,,,,,,,1000.00,,,,,,,7702184010457,,,,,,1,Presentacion,Unidad,,
,variable,200011384,TOA.NOSOTRAS NATURAL INV.CLAS.TELA 30UDS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,200011384-Caja,TOA.NOSOTRAS NATURAL INV.CLAS.TELA 30UDS - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,12900.00,,,,,,,200011384,,,,,,1,Presentacion,Caja,,
,variation,200011384-Unidad,TOA.NOSOTRAS NATURAL INV.CLAS.TELA 30UDS - Unidad,1,,visible,,,,,,,1,2,,,,,,,,,,,400.00,,,,,,,200011384,,,,,,1,Presentacion,Unidad,,
,variable,100021795,BUCALIV MENTA 48 TBS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100021795-Blister,BUCALIV MENTA 48 TBS - Blister,1,,visible,,,,,,,1,3,,,,,,,,,,,5000.00,,,,,,,100021795,,,,,,1,Presentacion,Blister,,
,variation,100021795-Unidad,BUCALIV MENTA 48 TBS - Unidad,1,,visible,,,,,,,1,1,,,,,,,,,,,1000.00,,,,,,,100021795,,,,,,1,Presentacion,Unidad,,
,variable,100009598,SILDENAFIL 50 MG 4 TBS MK,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100009598-Caja,SILDENAFIL 50 MG 4 TBS MK - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,13900.00,,,,,,,100009598,,,,,,1,Presentacion,Caja,,
,variation,100009598-Unidad,SILDENAFIL 50 MG 4 TBS MK - Unidad,1,,visible,,,,,,,1,1,,,,,,,,,,,3900.00,,,,,,,100009598,,,,,,1,Presentacion,Unidad,,
,variable,100012970,APOSITO OCULAR GOLY NINOS 20 UDS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100012970-Caja,APOSITO OCULAR GOLY NINOS 20 UDS - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,9800.00,,,,,,,100012970,,,,,,1,Presentacion,Caja,,
,variation,100012970-Unidad,APOSITO OCULAR GOLY NINOS 20 UDS - Unidad,1,,visible,,,,,,,1,8,,,,,,,,,,,800.00,,,,,,,100012970,,,,,,1,Presentacion,Unidad,,
,simple,G100012970,APOSITO OCULAR GOLY NINOS 20 UDS,1,,visible,,,,,,,1,16,,,,,,,,,,,900.00,,,,,,,,,,,,,,,,,
,simple,7703712030206,AZITROMICINA 500 MG X3 TBS COASPHARMA,1,,visible,,,,,,,1,17,,,,,,,,,,,9000.00,,,,,,,,,,,,,,,,,
,simple,100014451,YODOPOVIL SOLUCION 60 ML ICOM (T),1,,visible,,,,,,,1,4,,,,,,,,,,,6900.00,,,,,,,,,,,,,,,,,
,simple,200029301,MAQ.GILLETTE SIMPLY MUJER DISP 8 UDS,1,,visible,,,,,,,1,1,,,,,,,,,,,31900.00,,,,,,,,,,,,,,,,,
,variable,100014833,TRAZODONA 50 MG 50 TABLETAS RC,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100014833-Caja,TRAZODONA 50 MG 50 TABLETAS RC - Caja,1,,visible,,,,,,,1,10,,,,,,,,,,,22700.00,,,,,,,100014833,,,,,,1,Presentacion,Caja,,
,variation,100014833-Unidad,TRAZODONA 50 MG 50 TABLETAS RC - Unidad,1,,visible,,,,,,,1,4,,,,,,,,,,,4000.00,,,,,,,100014833,,,,,,1,Presentacion,Unidad,,
,variable,G100014833,TRAZODONA 50 MG 50 TABLETAS RC,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,G100014833-Caja,TRAZODONA 50 MG 50 TABLETAS RC - Caja,1,,visible,,,,,,,1,6,,,,,,,,,,,11800.00,,,,,,,G100014833,,,,,,1,Presentacion,Caja,,
,variation,G100014833-Blister,TRAZODONA 50 MG 50 TABLETAS RC - Blister,1,,visible,,,,,,,1,2,,,,,,,,,,,3000.00,,,,,,,G100014833,,,,,,1,Presentacion,Blister,,
,simple,100001851,CREMA FORZ 24 SBS,1,,visible,,,,,,,1,22,,,,,,,,,,,2900.00,,,,,,,,,,,,,,,,,
,variable,G100001851,CREMA FORZ 24 SBS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,G100001851-Caja,CREMA FORZ 24 SBS - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,40900.00,,,,,,,G100001851,,,,,,1,Presentacion,Caja,,
,variation,G100001851-Unidad,CREMA FORZ 24 SBS - Unidad,1,,visible,,,,,,,1,2,,,,,,,,,,,2000.00,,,,,,,G100001851,,,,,,1,Presentacion,Unidad,,
,simple,200030331,DTE BALAN.CRE.MAX PROT.CLIN.16 SBS HOM,1,,visible,,,,,,,1,13,,,,,,,,,,,800.00,,,,,,,,,,,,,,,,,
,variable,200007921,MANTECA DE CACAO ICOM 100 UDS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,200007921-Caja,MANTECA DE CACAO ICOM 100 UDS - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,21500.00,,,,,,,200007921,,,,,,1,Presentacion,Caja,,
,variation,200007921-Unidad,MANTECA DE CACAO ICOM 100 UDS - Unidad,1,,visible,,,,,,,1,11,,,,,,,,,,,400.00,,,,,,,200007921,,,,,,1,Presentacion,Unidad,,
,simple,C200007921,MANTECA DE CACAO ICOM 100 UDS,1,,visible,,,,,,,1,2,,,,,,,,,,,300.00,,,,,,,,,,,,,,,,,
,simple,G200007921,MANTECA DE CACAO ICOM 100 UDS,1,,visible,,,,,,,1,86,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,
,variable,7707019381177,VASTORFIT 20 MG X 30 TBS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707019381177-Caja,VASTORFIT 20 MG X 30 TBS - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,65900.00,,,,,,,7707019381177,,,,,,1,Presentacion,Caja,,
,variation,7707019381177-Blister,VASTORFIT 20 MG X 30 TBS - Blister,1,,visible,,,,,,,1,1,,,,,,,,,,,22900.00,,,,,,,7707019381177,,,,,,1,Presentacion,Blister,,
,simple,7703546153300,COLTRIM 200 MG X 30 TBS,1,,visible,,,,,,,1,1,,,,,,,,,,,21900.00,,,,,,,,,,,,,,,,,
,simple,7707019412109,MACROMICYN 500MG X 10 TABLETAS,1,,visible,,,,,,,1,2,,,,,,,,,,,39900.00,,,,,,,,,,,,,,,,,
,variable,100011051,AINEDAP 500 MG 10 TABLETAS ICOM,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100011051-Caja,AINEDAP 500 MG 10 TABLETAS ICOM - Caja,1,,visible,,,,,,,1,4,,,,,,,,,,,12900.00,,,,,,,100011051,,,,,,1,Presentacion,Caja,,
,variation,100011051-Unidad,AINEDAP 500 MG 10 TABLETAS ICOM - Unidad,1,,visible,,,,,,,1,8,,,,,,,,,,,1500.00,,,,,,,100011051,,,,,,1,Presentacion,Unidad,,
,simple,C100011051,AINEDAP 500 MG 10 TABLETAS ICOM,1,,visible,,,,,,,1,2,,,,,,,,,,,15800.00,,,,,,,,,,,,,,,,,
,simple,100021821,BUCOXOL TRIPLE ACCION COOLMINT 10 TBS,1,,visible,,,,,,,1,8,,,,,,,,,,,11900.00,,,,,,,,,,,,,,,,,
,simple,100023401,TRIMEBUTINA SIMETIC.200/120 MG 30 TBS MK,1,,visible,,,,,,,1,2,,,,,,,,,,,19900.00,,,,,,,,,,,,,,,,,
,simple,7703712030459,NAPROXENO 250 MG X 10 TABLETAS COASPH,1,,visible,,,,,,,1,3,,,,,,,,,,,3800.00,,,,,,,,,,,,,,,,,
,simple,200034939,2 TOA.KOTEX NOCTURNA TELA 8 UDS P.E,1,,visible,,,,,,,1,4,,,,,,,,,,,7900.00,,,,,,,,,,,,,,,,,
,variable,100001917,DOLEX GRIPA 12 TABLETAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100001917-Caja,DOLEX GRIPA 12 TABLETAS - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,11000.00,,,,,,,100001917,,,,,,1,Presentacion,Caja,,
,variation,100001917-Unidad,DOLEX GRIPA 12 TABLETAS - Unidad,1,,visible,,,,,,,1,1,,,,,,,,,,,700.00,,,,,,,100001917,,,,,,1,Presentacion,Unidad,,
,variable,6973150450008,TAPABOCAS MASK 50 UNI,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,6973150450008-Caja,TAPABOCAS MASK 50 UNI - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,19800.00,,,,,,,6973150450008,,,,,,1,Presentacion,Caja,,
,variation,6973150450008-Blister,TAPABOCAS MASK 50 UNI - Blister,1,,visible,,,,,,,1,4,,,,,,,,,,,6000.00,,,,,,,6973150450008,,,,,,1,Presentacion,Blister,,
,variation,6973150450008-Unidad,TAPABOCAS MASK 50 UNI - Unidad,1,,visible,,,,,,,1,4,,,,,,,,,,,800.00,,,,,,,6973150450008,,,,,,1,Presentacion,Unidad,,
,variable,7702123000495,ASPIRINA 100MG 140 TABLETAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7702123000495-Caja,ASPIRINA 100MG 140 TABLETAS - Caja,1,,visible,,,,,,,1,4,,,,,,,,,,,58000.00,,,,,,,7702123000495,,,,,,1,Presentacion,Caja,,
,variation,7702123000495-Blister,ASPIRINA 100MG 140 TABLETAS - Blister,1,,visible,,,,,,,1,4,,,,,,,,,,,12500.00,,,,,,,7702123000495,,,,,,1,Presentacion,Blister,,
,simple,21,COCA COLA 1.5 LT ,1,,visible,,,,,,,1,10,,,,,,,,,,,3800.00,,,,,,,,,,,,,,,,,
,simple,7709071926723,OMEPRAZOL 20 MG 300 CAPSULAS,1,,visible,,,,,,,1,3,,,,,,,,,,,3500.00,,,,,,,,,,,,,,,,,
,variable,100008821,FLUIMUCIL 600 MES 30 SBS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100008821-Caja,FLUIMUCIL 600 MES 30 SBS - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,72900.00,,,,,,,100008821,,,,,,1,Presentacion,Caja,,
,variation,100008821-Unidad,FLUIMUCIL 600 MES 30 SBS - Unidad,1,,visible,,,,,,,1,21,,,,,,,,,,,2500.00,,,,,,,100008821,,,,,,1,Presentacion,Unidad,,
,variable,C100008821,FLUIMUCIL 600 MES 30 SBS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,C100008821-Caja,FLUIMUCIL 600 MES 30 SBS - Caja,1,,visible,,,,,,,1,3,,,,,,,,,,,75900.00,,,,,,,C100008821,,,,,,1,Presentacion,Caja,,
,variation,C100008821-Unidad,FLUIMUCIL 600 MES 30 SBS - Unidad,1,,visible,,,,,,,1,2,,,,,,,,,,,2700.00,,,,,,,C100008821,,,,,,1,Presentacion,Unidad,,
,simple,100022518,LEGRIP PLUS 100 CAP. BLANDAS ICOM (RF),1,,visible,,,,,,,1,1,,,,,,,,,,,8900.00,,,,,,,,,,,,,,,,,
,variable,100005832,DICLOFENACO RETARD 100 MG 20 CAPSULAS MK,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100005832-Caja,DICLOFENACO RETARD 100 MG 20 CAPSULAS MK - Caja,1,,visible,,,,,,,1,8,,,,,,,,,,,11900.00,,,,,,,100005832,,,,,,1,Presentacion,Caja,,
,variation,100005832-Unidad,DICLOFENACO RETARD 100 MG 20 CAPSULAS MK - Unidad,1,,visible,,,,,,,1,6,,,,,,,,,,,600.00,,,,,,,100005832,,,,,,1,Presentacion,Unidad,,
,variable,C100005832,DICLOFENACO RETARD 100 MG 20 CAPSULAS MK,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,C100005832-Caja,DICLOFENACO RETARD 100 MG 20 CAPSULAS MK - Caja,1,,visible,,,,,,,1,8,,,,,,,,,,,10900.00,,,,,,,C100005832,,,,,,1,Presentacion,Caja,,
,variation,C100005832-Blister,DICLOFENACO RETARD 100 MG 20 CAPSULAS MK - Blister,1,,visible,,,,,,,1,4,,,,,,,,,,,3000.00,,,,,,,C100005832,,,,,,1,Presentacion,Blister,,
,variation,C100005832-Unidad,DICLOFENACO RETARD 100 MG 20 CAPSULAS MK - Unidad,1,,visible,,,,,,,1,4,,,,,,,,,,,800.00,,,,,,,C100005832,,,,,,1,Presentacion,Unidad,,
,variable,75,CHOCOCONO 1500 X 20U,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,75-Caja,CHOCOCONO 1500 X 20U - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,36000.00,,,,,,,75,,,,,,1,Presentacion,Caja,,
,variation,75-Unidad,CHOCOCONO 1500 X 20U - Unidad,1,,visible,,,,,,,1,15,,,,,,,,,,,1500.00,,,,,,,75,,,,,,1,Presentacion,Unidad,,
,variable,7707236127640,DICLOFENACO VITALIS 75MG/3ML-C 100 UDS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707236127640-Caja,DICLOFENACO VITALIS 75MG/3ML-C 100 UDS - Caja,1,,visible,,,,,,,1,4,,,,,,,,,,,75000.00,,,,,,,7707236127640,,,,,,1,Presentacion,Caja,,
,variation,7707236127640-Unidad,DICLOFENACO VITALIS 75MG/3ML-C 100 UDS - Unidad,1,,visible,,,,,,,1,79,,,,,,,,,,,2000.00,,,,,,,7707236127640,,,,,,1,Presentacion,Unidad,,
,variable,72,HELADO ARTESANAL 25 U,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,72-Caja,HELADO ARTESANAL 25 U - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,22990.00,,,,,,,72,,,,,,1,Presentacion,Caja,,
,variation,72-Unidad,HELADO ARTESANAL 25 U - Unidad,1,,visible,,,,,,,1,13,,,,,,,,,,,1800.00,,,,,,,72,,,,,,1,Presentacion,Unidad,,
,simple,201,COCA COLA 250 ML ,1,,visible,,,,,,,1,28,,,,,,,,,,,1500.00,,,,,,,,,,,,,,,,,
,simple,200012690,JERINGA 3P 10ML 21X1.1/2 PRECISION ETERN,1,,visible,,,,,,,1,44,,,,,,,,,,,600.00,,,,,,,,,,,,,,,,,
,simple,C200012690,JERINGA 3P 10ML 21X1.1/2 PRECISION ETERN,1,,visible,,,,,,,1,156,,,,,,,,,,,600.00,,,,,,,,,,,,,,,,,
,simple,7702026180249,PAP.HIG.FAMILIA EXPERT 24 UNIDADES,1,,visible,,,,,,,1,6,,,,,,,,,,,2300.00,,,,,,,,,,,,,,,,,
,simple,100014452,AGUA OXIGENADA ICOM 120 ML,1,,visible,,,,,,,1,7,,,,,,,,,,,3000.00,,,,,,,,,,,,,,,,,
,simple,C100014452,AGUA OXIGENADA ICOM 120 ML,1,,visible,,,,,,,1,3,,,,,,,,,,,2800.00,,,,,,,,,,,,,,,,,
,simple,100009990,ZIDOXTIFEN 500 MG 3 TBS ICOM (PD) (T),1,,visible,,,,,,,1,10,,,,,,,,,,,43000.00,,,,,,,,,,,,,,,,,
,simple,7707236120191,LINCOMICINA 600 MG/2ML 10 AMPOLLAS VT,1,,visible,,,,,,,1,3,,,,,,,,,,,28000.00,,,,,,,,,,,,,,,,,
,simple,7707300935171,TAPABOCAS PEDIAT. 50 TAB,1,,visible,,,,,,,1,46,,,,,,,,,,,700.00,,,,,,,,,,,,,,,,,
,variable,100012155,DEXAMETASONA 8 MG 2 ML 10 AMPOLLAS GF,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100012155-Caja,DEXAMETASONA 8 MG 2 ML 10 AMPOLLAS GF - Caja,1,,visible,,,,,,,1,70,,,,,,,,,,,45900.00,,,,,,,100012155,,,,,,1,Presentacion,Caja,,
,variation,100012155-Unidad,DEXAMETASONA 8 MG 2 ML 10 AMPOLLAS GF - Unidad,1,,visible,,,,,,,1,10,,,,,,,,,,,6000.00,,,,,,,100012155,,,,,,1,Presentacion,Unidad,,
,simple,100009073,KILOX 0.6% GOTAS 5 ML,1,,visible,,,,,,,1,17,,,,,,,,,,,24800.00,,,,,,,,,,,,,,,,,
,simple,G100009073,KILOX 0.6% GOTAS 5 ML,1,,visible,,,,,,,1,6,,,,,,,,,,,22900.00,,,,,,,,,,,,,,,,,
,simple,650240028199,X RAY DOL 12 TABLETAS(SF),1,,visible,,,,,,,1,2,,,,,,,,,,,15800.00,,,,,,,,,,,,,,,,,
,simple,200015224,ERASSIN 100 MG 2 TABLETAS LB,1,,visible,,,,,,,1,42,,,,,,,,,,,12000.00,,,,,,,,,,,,,,,,,
,simple,C200015224,ERASSIN 100 MG 2 TABLETAS LB,1,,visible,,,,,,,1,7,,,,,,,,,,,12500.00,,,,,,,,,,,,,,,,,
